,age,ed,income,debtinc,creddebt,othdebt,spoused,reside,pets,pets_cats,pets_dogs,pets_birds,pets_small,pets_freshfish,carvalue,commutetime,tenure,longten,tollmon,tollten,equipmon,equipten,cardmon,cardten,wiremon,wireten,hourstv,ln_Total_Spent
corr_x,0.0073933466776365045,0.09811004870718491,0.35604613271530167,0.01610886031087229,0.23349419734395024,0.26056614926849275,0.030739482895496273,0.0037704173683943106,-0.004719604853959918,0.0026860067466681413,0.007336460600194044,-0.018395115418575473,-0.0036939687255194073,-0.006438989878162904,0.3069355812030313,0.005344471421803572,0.05327317769002016,0.0358476361730591,0.07509922479766258,0.08658559838538371,0.07068300098412343,0.08187219670054956,0.016796988817102003,0.028569135895054654,0.08717480201734293,0.097532220513597,0.044575828681585834,0.9999999999999971
corr_logx,0.0024598805774857066,0.09626239257927365,0.3463540744231231,0.015976906346881987,0.2272389404156431,0.2538235355299696,0.03029618181292926,0.005817900516978521,-0.0056146194714834455,0.001508270286759174,0.00491866175665119,-0.01829737373307173,-0.004772501669045526,-0.006462646337201548,0.299394063541088,0.006951723263009308,0.048506323996106375,0.030996023306034307,0.07284559497737188,0.0831421231859841,0.06999473898231562,0.07995133818722866,0.013488812709683006,0.024099043533710236,0.08666061663162858,0.09613045244376797,0.04613494529061698,0.9973607347380586
corr_expx,0.03167996110968615,0.10094250847961381,0.37719969097105327,0.015066129371956938,0.24854723924540637,0.2729718812385485,0.02731243542324394,-0.005728859712319097,0.0018493224855991018,0.009498222198028474,0.024717560326525088,-0.013007402861341442,0.001452120791776143,-0.005823716335914185,0.31936745202990313,-0.002720450932962825,0.07259524962890254,0.057575029090618,0.08363909048842055,0.09983438743731214,0.07143192665949229,0.08813578689195126,0.0326613865751459,0.04837185694368329,0.08591673492222984,0.10001426442463347,0.03105697904484669,0.9100417521633065
corr_sqrtx,0.004520171670045332,0.09708573487090494,0.3505908162229275,0.016044203772741537,0.22997292989559534,0.25678140670099087,0.030506750541013844,0.004964388797886521,-0.005249506716197835,0.0019979037308186162,0.00591250441381846,-0.018364796089562645,-0.004326194209639878,-0.006455646303688214,0.30271251372378655,0.0062852271036017435,0.0505243791558453,0.03303822733123206,0.07382061897978215,0.08462119313549558,0.07031641519383665,0.08079255329264312,0.014876710135438172,0.02598124092999869,0.08691744052451737,0.09676352812019356,0.045516627363525165,0.9991005417502122
corr_sqrex,0.012786809431407774,0.09969036480631933,0.3649964834531704,0.016123272263484333,0.23929515172126764,0.26667646528352035,0.030935332366421396,0.0015365029155582008,-0.003625741134543323,0.0040139162678913785,0.010252895879975365,-0.01814840757756738,-0.002472847872876677,-0.006392739160383919,0.3136709651374848,0.003544763178126422,0.05823317987932309,0.041010115377360545,0.07731566934334264,0.09002770540303683,0.07117404733431286,0.08367210184191845,0.02036127831145188,0.033298703316007004,0.08741720296120414,0.09869264468486456,0.04253458581769936,0.9966977050553576
